drivetrain,mpg,fuel_type,mileage,price,brand,year,engine_size,cylinders,transmission_type,gears,boost,model,price_log,boost_supercharged,boost_turbo,transmission_type_manual,brand_BMW,brand_Merc,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,drivetrain_FWD,drivetrain_RWD
AWD,27.5,Gasoline,33724,26139.0,Audi,2018,2.0,4.0,automatic,6.0,turbo, A3 2.0T Premium,10.171183730899395,0,1,0,0,0,0,1,0,0,0
AWD,31.5,Diesel,39407,34600.0,Audi,2016,3.0,6.0,automatic,8.0,turbo, A6 3.0T TDI Prestige,10.451608961045816,0,1,0,0,0,0,0,0,0,0
AWD,19.5,Hybrid,26800,65903.0,Audi,2019,3.0,6.0,automatic,8.0,turbo, Q8 3.0T Premium,11.09593924297492,0,1,0,0,0,0,0,1,0,0
AWD,21.5,Gasoline,30362,43950.0,Audi,2018,3.0,6.0,automatic,8.0,turbo, SQ5 3.0T Premium Plus,10.690807903113322,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,48755,48500.0,Audi,2018,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Prestige,10.789319076925574,1,0,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,59151,44704.0,Audi,2018,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.707818262056689,1,0,0,0,0,0,1,0,0,0
AWD,27.5,Gasoline,42595,25739.0,Audi,2018,2.0,4.0,automatic,6.0,turbo, A3 2.0T Premium,10.155762630356586,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,45387,38489.0,Audi,2017,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.55812776516606,1,0,0,0,0,0,1,0,0,0
AWD,29.0,Gasoline,10691,39990.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, A5 2.0T Premium Plus,10.596384701840863,0,1,0,0,0,0,1,0,0,0
AWD,19.5,Gasoline,25011,72901.0,Audi,2019,3.0,6.0,automatic,8.0,turbo, Q8 3.0T Premium,11.196857635323791,0,1,0,0,0,0,1,0,0,0
AWD,19.5,Gasoline,18691,75977.0,Audi,2019,3.0,6.0,automatic,8.0,turbo, Q8 3.0T Premium,11.238185941887345,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,76954,26517.0,Audi,2016,3.0,6.0,automatic,8.0,supercharged, Q5 3.0T Premium Plus,10.185541315729058,1,0,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,49982,43865.0,Audi,2018,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.688872014562484,1,0,0,0,0,0,1,0,0,0
AWD,21.0,Gasoline,51499,36900.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, Q7 2.0T Premium Plus,10.51596683002862,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,62653,37900.0,Audi,2017,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.542706391070515,1,0,0,0,0,0,1,0,0,0
AWD,25.0,Gasoline,23539,36399.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, Q5 2.0T Tech Premium,10.502296580719984,0,1,0,0,0,0,1,0,0,0
AWD,25.0,Gasoline,69979,35980.0,Audi,2016,3.0,6.0,automatic,8.0,supercharged, A7 3.0T Premium Plus,10.490718507504525,1,0,0,0,0,0,1,0,0,0
AWD,19.0,Gasoline,132341,18864.0,Audi,2014,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T S line Prestige,9.845010622777153,1,0,0,0,0,0,1,0,0,0
AWD,25.0,Gasoline,16729,34988.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, Q5 2.0T Premium Plus,10.462760424539743,0,1,0,0,0,0,1,0,0,0
AWD,26.5,Gasoline,109869,5590.0,Audi,2007,2.0,4.0,manual,6.0,turbo, A4 2.0T,8.628734566149145,0,1,1,0,0,0,1,0,0,0
AWD,25.0,Gasoline,67919,36595.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, Q5 2.0T Tech Premium,10.507666898035328,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,89355,34900.0,Audi,2017,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.46024210819052,1,0,0,0,0,0,1,0,0,0
AWD,24.5,Gasoline,18814,43952.0,Audi,2019,2.0,4.0,automatic,7.0,turbo, Q5 2.0T Premium Plus,10.690853408335055,0,1,0,0,0,0,1,0,0,0
AWD,23.0,Gasoline,119370,18732.0,Audi,2012,4.2,8.0,automatic,8.0,none, A8 4.2 quattro,9.837988570303432,0,0,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,16648,47900.0,Audi,2018,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.776870783399009,1,0,0,0,0,0,1,0,0,0
AWD,20.22256097560976,Gasoline,30705,79982.0,Audi,2017,4.0,8.0,automatic,8.0,turbo, RS 7 4.0T Performance Prestige,11.28955688833972,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,36802,49900.0,Audi,2018,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Prestige,10.81777628173961,1,0,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,15109,65998.0,Audi,2018,2.9,6.0,automatic,8.0,turbo, RS 5 2.9T,11.097379717519113,0,1,0,0,0,0,1,0,0,0
AWD,19.0,Gasoline,10675,72998.0,Audi,2020,3.0,6.0,automatic,8.0,turbo, Q8 55 Premium,11.198187322494942,0,1,0,0,0,0,1,0,0,0
AWD,20.5,Gasoline,13771,74994.0,Audi,2021,3.0,6.0,automatic,8.0,turbo, Q8 55 Premium,11.225163389318276,0,1,0,0,0,0,1,0,0,0
AWD,25.0,Gasoline,4111,46500.0,Audi,2020,2.0,4.0,automatic,7.0,turbo, Q5 45 Premium Plus,10.747207591575448,0,1,0,0,0,0,1,0,0,0
AWD,20.5,Gasoline,72825,19000.0,Audi,2012,3.2,6.0,automatic,6.0,none, Q5 3.2 Premium Plus,9.852194258148575,0,0,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,25466,65869.0,Audi,2018,2.9,6.0,automatic,8.0,turbo, RS 5 2.9T,11.095423200101555,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,34498,41900.0,Audi,2018,2.0,4.0,automatic,8.0,turbo, Q7 2.0T Premium Plus,10.643041105910228,0,1,0,0,0,0,1,0,0,0
AWD,15.0,Gasoline,23706,41995.0,Audi,2018,3.0,6.0,automatic,8.0,turbo, S5 Premium Plus,10.645305842559727,0,1,0,0,0,0,1,0,0,0
AWD,25.0,Gasoline,46539,35700.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, Q5 2.0T Premium Plus,10.48290596776773,0,1,0,0,0,0,1,0,0,0
AWD,25.5,Gasoline,49779,45503.0,Audi,2018,3.0,6.0,automatic,8.0,turbo, S5 3.0T Prestige,10.72553353683142,0,1,0,0,0,0,1,0,0,0
AWD,20.5,Gasoline,69494,17650.0,Audi,2012,3.2,6.0,automatic,6.0,none, Q5 3.2 Premium Plus,9.778491062361445,0,0,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,83667,34550.0,Audi,2017,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.450162829195817,1,0,0,0,0,0,1,0,0,0
AWD,21.5,Gasoline,62804,49998.0,Audi,2014,4.0,8.0,automatic,8.0,turbo, RS 7 4.0T Prestige,10.819738283610262,0,1,0,0,0,0,1,0,0,0
AWD,25.0,Gasoline,23125,37999.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, Q5 2.0T Tech Premium,10.545315122572784,0,1,0,0,0,0,1,0,0,0
AWD,29.0,Gasoline,16490,31990.0,Audi,2018,2.0,4.0,automatic,7.0,turbo, A4 2.0T Premium Plus,10.373178632943564,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,62330,26900.0,Audi,2014,3.0,6.0,automatic,7.0,supercharged, S5 3.0T Prestige quattro,10.19988156558993,1,0,0,0,0,0,1,0,0,0
AWD,19.0,Gasoline,85254,23774.0,Audi,2015,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Premium Plus,10.07634782554057,1,0,0,0,0,0,1,0,0,0
AWD,25.0,Gasoline,65952,19805.0,Audi,2013,2.0,4.0,automatic,8.0,turbo, A6 2.0T Premium Plus,9.893689710056018,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,64366,30999.0,Audi,2015,3.0,6.0,automatic,7.0,supercharged, S5 3.0T Premium Plus,10.341710224882464,1,0,0,0,0,0,1,0,0,0
AWD,19.5,Gasoline,14741,59329.0,Audi,2019,3.0,6.0,automatic,8.0,turbo, Q8 3.0T Premium,10.990853504231156,0,1,0,0,0,0,1,0,0,0
AWD,22.0,Gasoline,45648,49493.0,Audi,2018,3.0,6.0,automatic,8.0,supercharged, Q7 3.0T Prestige,10.809586524415446,1,0,0,0,0,0,1,0,0,0
